order_id,customer_id,product_category,product_price,quantity,order_date,region,payment_method,delivery_days,is_returned,customer_rating,discount_percent,revenue
1,bdd640fb-0667-4ad1-9c80-317fa3b1799d,Beauty,190.4,5,2023-02-21,Europe,BankTransfer,8,0,3.8,0,952.0
2,23b8c1e9-3924-46de-beb1-3b9046685257,Fashion,82.22,3,2023-10-13,North America,CreditCard,5,0,3.8,0,246.66
3,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Beauty,15.19,2,2023-06-28,Oceania,Cash,6,1,2.0,10,27.34
4,972a8469-1641-4f82-8b9d-2434e465e150,Electronics,310.65,2,2023-07-11,Europe,PayPal,9,0,2.9,5,590.23
5,17fc695a-07a0-4a6e-8822-e8f36c031199,Fashion,74.05,4,2023-02-24,Africa,PayPal,3,1,3.1,20,236.96
6,9a1de644-815e-46d1-bb8f-aa1837f8a88b,Beauty,236.05,5,2025-05-09,Oceania,PayPal,5,0,3.4,5,1121.24
7,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Sports,471.39,2,2024-07-23,Africa,CreditCard,5,0,2.7,0,942.78
8,6b65a6a4-8b81-48f6-b38a-088ca65ed389,Automotive,343.22,4,2025-05-15,North America,BankTransfer,3,0,4.7,0,1372.88
9,47378190-96da-4dac-b2ff-5d2a386ecbe0,Home,332.95,2,2024-03-16,North America,BankTransfer,6,0,3.6,0,665.9
10,c241330b-01a9-471f-9e8a-774bcf36d58b,Electronics,484.94,2,2025-02-17,Europe,CreditCard,4,0,3.8,0,969.88
11,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Home,48.8,4,2024-06-25,Asia,CreditCard,8,0,4.5,0,195.2
12,371ecd7b-27cd-4130-8722-9389571aa876,Beauty,272.15,2,2023-09-13,South America,Cash,9,0,2.9,20,435.44
13,1a2a73ed-562b-4f79-8374-59eef50bea63,Electronics,12.74,1,2024-08-23,Africa,BankTransfer,8,0,2.0,10,11.47
14,5be6128e-18c2-4797-a142-ea7d17be3111,Toys,354.89,3,2023-05-23,North America,CreditCard,5,0,4.8,10,958.2
15,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,Beauty,457.91,1,2024-08-15,North America,CreditCard,2,0,2.3,5,435.01
16,759cde66-bacf-43d0-8b1f-9163ce9ff57f,Automotive,336.08,5,2023-07-26,North America,Cash,8,0,2.8,10,1512.36
17,ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,Home,194.55,3,2025-01-17,South America,PayPal,7,0,4.3,10,525.29
18,4b0dbb41-8d52-48f1-942c-3fe860e7a113,Home,263.75,2,2024-03-05,Asia,BankTransfer,3,0,2.1,0,527.5
19,e2acf72f-9e57-4f7a-a0ee-89aed453dd32,Beauty,160.61,4,2023-05-27,Oceania,PayPal,7,0,3.8,15,546.07
20,3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,Toys,105.52,5,2024-05-16,Oceania,PayPal,3,0,2.5,0,527.6
21,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Sports,405.02,1,2024-07-06,South America,PayPal,4,0,4.7,0,405.02
22,fc377a4c-4a15-444d-85e7-ce8a3a578a8e,Beauty,404.68,4,2023-04-25,Asia,PayPal,1,0,2.8,0,1618.72
23,ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,Automotive,5.26,5,2024-10-08,Europe,Cash,7,0,2.5,15,22.35
24,7412b293-4729-4739-a14f-f3d719db3ad0,Home,244.99,1,2024-03-08,Europe,BankTransfer,8,0,4.8,0,244.99
25,29a3b2e9-5d65-4441-9588-42dea2bc372f,Fashion,261.8,1,2025-10-19,Oceania,Cash,1,0,2.8,0,261.8
26,ab9099a4-35a2-40ae-9af3-05535ec42e08,Beauty,349.67,3,2023-10-20,South America,BankTransfer,1,0,5.0,0,1049.01
27,aefcfad8-efc8-4849-b3aa-7efe4458a885,Fashion,488.42,4,2024-06-22,North America,Cash,5,0,3.0,0,1953.68
28,a28defe3-9bf0-4273-9247-6f57a5e5a5ab,Toys,341.95,5,2025-01-11,South America,PayPal,6,0,2.7,0,1709.75
29,3eabedcb-baa8-4dd4-88bd-64072bcfbe01,Fashion,382.0,3,2025-10-07,Africa,CreditCard,6,0,3.1,0,1146.0
