order_id,customer_id,product_category,product_price,quantity,order_date,region,payment_method,delivery_days,is_returned,customer_rating,discount_percent,revenue,year,month,week,day_of_week,discounted_price,revenue_per_unit,daily_demand
1,bdd640fb-0667-4ad1-9c80-317fa3b1799d,Beauty,190.4,5,2023-02-21,Europe,BankTransfer,8,0,3.8,0,952.0,2023,2,8,1,190.4,190.4,27
2,23b8c1e9-3924-46de-beb1-3b9046685257,Fashion,82.22,3,2023-10-13,North America,CreditCard,5,0,3.8,0,246.66,2023,10,41,4,82.22,82.22,59
3,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Beauty,15.19,2,2023-06-28,Oceania,Cash,6,1,2.0,10,27.34,2023,6,26,2,13.671,13.67,43
4,972a8469-1641-4f82-8b9d-2434e465e150,Electronics,310.65,2,2023-07-11,Europe,PayPal,9,0,2.9,5,590.23,2023,7,28,1,295.11749999999995,295.115,26
5,17fc695a-07a0-4a6e-8822-e8f36c031199,Fashion,74.05,4,2023-02-24,Africa,PayPal,3,1,3.1,20,236.96,2023,2,8,4,59.24,59.24,42
6,9a1de644-815e-46d1-bb8f-aa1837f8a88b,Beauty,236.05,5,2025-05-09,Oceania,PayPal,5,0,3.4,5,1121.24,2025,5,19,4,224.2475,224.248,31
7,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Sports,471.39,2,2024-07-23,Africa,CreditCard,5,0,2.7,0,942.78,2024,7,30,1,471.39,471.39,42
8,6b65a6a4-8b81-48f6-b38a-088ca65ed389,Automotive,343.22,4,2025-05-15,North America,BankTransfer,3,0,4.7,0,1372.88,2025,5,20,3,343.22,343.22,48
9,47378190-96da-4dac-b2ff-5d2a386ecbe0,Home,332.95,2,2024-03-16,North America,BankTransfer,6,0,3.6,0,665.9,2024,3,11,5,332.95,332.95,26
10,c241330b-01a9-471f-9e8a-774bcf36d58b,Electronics,484.94,2,2025-02-17,Europe,CreditCard,4,0,3.8,0,969.88,2025,2,8,0,484.94,484.94,48
11,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Home,48.8,4,2024-06-25,Asia,CreditCard,8,0,4.5,0,195.2,2024,6,26,1,48.8,48.8,45
12,371ecd7b-27cd-4130-8722-9389571aa876,Beauty,272.15,2,2023-09-13,South America,Cash,9,0,2.9,20,435.44,2023,9,37,2,217.72,217.72,22
13,1a2a73ed-562b-4f79-8374-59eef50bea63,Electronics,12.74,1,2024-08-23,Africa,BankTransfer,8,0,2.0,10,11.47,2024,8,34,4,11.466000000000001,11.47,38
