order_id,customer_id,product_category,product_price,quantity,order_date,region,payment_method,delivery_days,is_returned,customer_rating,discount_percent,revenue,year,month,week,day_of_week,discounted_price,revenue_per_unit,daily_demand
95232,e2e3a6fe-e31c-4a78-86f2-05046151df81,Electronics,30.29,4,2023-01-01,North America,CreditCard,8,0,3.0,0,121.16,2023,1,52,6,30.29,30.29,45
58996,ef4716f8-4b4b-44f0-963b-881ab4ff87bc,Fashion,87.74,5,2023-01-01,Europe,BankTransfer,2,1,3.8,10,394.83,2023,1,52,6,78.966,78.966,48
34941,3275fe69-fd8d-403a-bc38-eecc3f6c5426,Sports,224.01,3,2023-01-01,North America,CreditCard,7,0,2.5,0,672.03,2023,1,52,6,224.01,224.01,28
13204,7207fa0d-55e8-4c69-8276-2d24dd4b31a3,Electronics,199.05,5,2023-01-01,Africa,CreditCard,2,0,4.7,5,945.49,2023,1,52,6,189.0975,189.098,45
6627,c0bf3b37-623d-4905-8c3e-b36ddc75f4cc,Home,474.15,3,2023-01-01,Africa,BankTransfer,9,0,3.2,10,1280.2,2023,1,52,6,426.735,426.73333333333335,42
59338,c5d031c5-ed7e-4d84-9cfb-98ec407b04a5,Automotive,378.74,5,2023-01-01,Europe,BankTransfer,7,0,4.1,10,1704.33,2023,1,52,6,340.86600000000004,340.866,24
74690,e5b32ef9-2514-4502-ae4c-4b85110de65c,Home,344.78,2,2023-01-01,Oceania,CreditCard,4,0,4.4,0,689.56,2023,1,52,6,344.78,344.78,42
9385,8b160a4d-7adb-490e-ac91-0cd0cb5e0dab,Home,482.93,2,2023-01-01,Oceania,CreditCard,2,0,2.5,0,965.86,2023,1,52,6,482.93,482.93,42
51643,4c5f7b3f-04c7-46d1-a557-bf412e47d725,Toys,441.16,3,2023-01-01,Europe,CreditCard,2,0,3.7,10,1191.13,2023,1,52,6,397.044,397.04333333333335,39
1638,e9a1c6d5-c34e-4baf-8f1c-b2ccceef9fa8,Fashion,54.47,1,2023-01-01,North America,PayPal,4,1,2.6,15,46.3,2023,1,52,6,46.2995,46.3,48
66818,0bf8124e-3379-403a-a3be-ad0c5a68a7c4,Fashion,407.52,4,2023-01-01,Europe,CreditCard,8,0,4.4,0,1630.08,2023,1,52,6,407.52,407.52,48
13093,81c4d943-4bc9-4e36-b5c8-5907939d0deb,Sports,159.54,2,2023-01-01,South America,Cash,2,0,3.1,0,319.08,2023,1,52,6,159.54,159.54,28
15681,14f770f7-f7e3-4b2d-91d6-0229b36bc03f,Home,437.64,2,2023-01-01,Oceania,PayPal,9,0,3.7,10,787.75,2023,1,52,6,393.876,393.875,42
81090,e0f35eea-ccd4-4a85-90a8-ceb72cb30435,Home,369.13,4,2023-01-01,North America,BankTransfer,3,0,2.6,0,1476.52,2023,1,52,6,369.13,369.13,42
54643,7b5283d7-897c-4b5a-8a6f-cfebe9ef78f3,Fashion,187.11,4,2023-01-01,South America,CreditCard,9,0,4.2,10,673.6,2023,1,52,6,168.39900000000003,168.4,48
24981,247a4253-089e-40a1-9857-6080a036eb27,Toys,164.03,3,2023-01-01,North America,BankTransfer,7,0,3.8,10,442.88,2023,1,52,6,147.627,147.6266666666667,39
25076,b0331494-2778-458f-95b8-9e2c5fc23510,Automotive,253.29,4,2023-01-01,Asia,PayPal,5,0,4.2,0,1013.16,2023,1,52,6,253.29,253.29,24
56158,b467f33a-37e0-4946-bdf1-2273d52a8bf3,Sports,139.65,2,2023-01-01,Asia,BankTransfer,1,0,2.9,0,279.3,2023,1,52,6,139.65,139.65,28
54587,18e020ef-1b97-443f-a080-faf6fe686328,Electronics,453.56,1,2023-01-01,North America,CreditCard,5,0,3.5,5,430.88,2023,1,52,6,430.882,430.88,45
54570,fc661842-4dad-41a8-8e2c-4623d3180337,Electronics,304.2,1,2023-01-01,Africa,CreditCard,2,0,2.9,10,273.78,2023,1,52,6,273.78,273.78,45
33665,c546fc47-6ec7-4029-8982-5fd9af5e5444,Beauty,152.17,5,2023-01-01,Asia,Cash,7,0,3.1,0,760.85,2023,1,52,6,152.17,152.17000000000002,19
95257,1bbe8eaf-071d-4111-a08a-7e9283b2fee9,Electronics,41.72,2,2023-01-01,Africa,PayPal,6,0,3.1,20,66.75,2023,1,52,6,33.376,33.375,45
98189,d06d6a86-467a-4026-be4c-cc3d89eb45d8,Home,253.66,5,2023-01-01,South America,Cash,6,0,2.1,5,1204.88,2023,1,52,6,240.977,240.97600000000003,42
25159,9ef7f33b-13c0-4e96-ac8c-b87b89be6c4f,Automotive,430.03,1,2023-01-01,Europe,PayPal,5,0,4.2,5,408.53,2023,1,52,6,408.5285,408.53,24
69825,1794929d-2b47-4c66-8142-07c1fb874e62,Electronics,138.95,5,2023-01-01,Europe,PayPal,7,0,4.2,5,660.01,2023,1,52,6,132.00249999999997,132.002,45
